Name,InSize,Type,Val,Repeat,Reduce
linear_search_opt,1/70, Gates/1e6,0.001,10,0.75
linear_search_opt,1/70, Bytes/MB,0.029,10,0.7928571428571429
linear_search,1/80, Time/s,0.003,10,0.0
linear_search,1/80, Gates/1e6,0.005,10,0.0
linear_search,1/80, Bytes/MB,0.16,10,0.0
linear_search_opt,1/80, Time/s,0.002,10,0.3333333333333333
linear_search_opt,1/80, Gates/1e6,0.001,10,0.8
linear_search_opt,1/80, Bytes/MB,0.036,10,0.775
linear_search,1/90, Time/s,0.003,10,0.0
linear_search,1/90, Gates/1e6,0.006,10,0.0
linear_search,1/90, Bytes/MB,0.18,10,0.0
linear_search_opt,1/90, Time/s,0.002,10,0.3333333333333333
linear_search_opt,1/90, Gates/1e6,0.001,10,0.8333333333333334
linear_search_opt,1/90, Bytes/MB,0.041,10,0.7722222222222221
linear_search,1/100, Time/s,0.003,10,0.0
linear_search,1/100, Gates/1e6,0.006,10,0.0
linear_search,1/100, Bytes/MB,0.201,10,0.0
linear_search_opt,1/100, Time/s,0.002,10,0.3333333333333333
linear_search_opt,1/100, Gates/1e6,0.002,10,0.6666666666666666
linear_search_opt,1/100, Bytes/MB,0.049,10,0.7562189054726369
binary_search,1/10, Time/s,0.004,10,0.0
binary_search,1/10, Gates/1e6,0.007,10,0.0
binary_search,1/10, Bytes/MB,0.225,10,0.0
binary_search_opt,1/10, Time/s,0.003,10,0.25
binary_search_opt,1/10, Gates/1e6,0.005,10,0.2857142857142857
binary_search_opt,1/10, Bytes/MB,0.146,10,0.35111111111111115
binary_search,1/20, Time/s,0.007,10,0.0
binary_search,1/20, Gates/1e6,0.013,10,0.0
binary_search,1/20, Bytes/MB,0.421,10,0.0
binary_search_opt,1/20, Time/s,0.004,10,0.42857142857142855
binary_search_opt,1/20, Gates/1e6,0.007,10,0.4615384615384615
binary_search_opt,1/20, Bytes/MB,0.221,10,0.4750593824228028
binary_search,1/30, Time/s,0.009,10,0.0
binary_search,1/30, Gates/1e6,0.017,10,0.0
binary_search,1/30, Bytes/MB,0.544,10,0.0
binary_search_opt,1/30, Time/s,0.01,10,-0.11111111111111122
binary_search_opt,1/30, Gates/1e6,0.013,10,0.2352941176470589
binary_search_opt,1/30, Bytes/MB,0.407,10,0.25183823529411775
binary_search,1/40, Time/s,0.013,10,0.0
binary_search,1/40, Gates/1e6,0.026,10,0.0
binary_search,1/40, Bytes/MB,0.833,10,0.0
binary_search_opt,1/40, Time/s,0.01,10,0.23076923076923073
binary_search_opt,1/40, Gates/1e6,0.016,10,0.3846153846153846
binary_search_opt,1/40, Bytes/MB,0.518,10,0.3781512605042016
binary_search,1/50, Time/s,0.015,10,0.0
binary_search,1/50, Gates/1e6,0.031,10,0.0
binary_search,1/50, Bytes/MB,0.986,10,0.0
binary_search_opt,1/50, Time/s,0.014,10,0.06666666666666661
binary_search_opt,1/50, Gates/1e6,0.025,10,0.19354838709677413
binary_search_opt,1/50, Bytes/MB,0.791,10,0.19776876267748475
binary_search,1/60, Time/s,0.018,10,0.0
binary_search,1/60, Gates/1e6,0.036,10,0.0
binary_search,1/60, Bytes/MB,1.14,10,0.0
binary_search_opt,1/60, Time/s,0.011,10,0.3888888888888889
binary_search_opt,1/60, Gates/1e6,0.022,10,0.3888888888888889
binary_search_opt,1/60, Bytes/MB,0.715,10,0.37280701754385964
binary_search,1/70, Time/s,0.019,10,0.0
binary_search,1/70, Gates/1e6,0.04,10,0.0
binary_search,1/70, Bytes/MB,1.281,10,0.0
binary_search_opt,1/70, Time/s,0.013,10,0.31578947368421056
binary_search_opt,1/70, Gates/1e6,0.025,10,0.375
binary_search_opt,1/70, Bytes/MB,0.807,10,0.370023419203747
binary_search,1/80, Time/s,0.02,10,0.0
binary_search,1/80, Gates/1e6,0.04,10,0.0
binary_search,1/80, Bytes/MB,1.27,10,0.0
binary_search_opt,1/80, Time/s,0.013,10,0.35000000000000003
binary_search_opt,1/80, Gates/1e6,0.026,10,0.35000000000000003
binary_search_opt,1/80, Bytes/MB,0.82,10,0.35433070866141736
binary_search,1/90, Time/s,0.02,10,0.0
binary_search,1/90, Gates/1e6,0.042,10,0.0
binary_search,1/90, Bytes/MB,1.33,10,0.0
binary_search_opt,1/90, Time/s,0.014,10,0.3
binary_search_opt,1/90, Gates/1e6,0.026,10,0.38095238095238104
binary_search_opt,1/90, Bytes/MB,0.841,10,0.36766917293233087
binary_search,1/100, Time/s,0.021,10,0.0
binary_search,1/100, Gates/1e6,0.042,10,0.0
binary_search,1/100, Bytes/MB,1.342,10,0.0
binary_search_opt,1/100, Time/s,0.015,10,0.2857142857142858
binary_search_opt,1/100, Gates/1e6,0.031,10,0.261904761904762
binary_search_opt,1/100, Bytes/MB,0.98,10,0.26974664679582716
almost_search,1/10, Time/s,0.007,10,0.0
almost_search,1/10, Gates/1e6,0.015,10,0.0
almost_search,1/10, Bytes/MB,0.466,10,0.0
almost_search_opt,1/10, Time/s,0.003,10,0.5714285714285714
almost_search_opt,1/10, Gates/1e6,0.005,10,0.6666666666666666
almost_search_opt,1/10, Bytes/MB,0.171,10,0.6330472103004292
almost_search,1/20, Time/s,0.015,10,0.0
almost_search,1/20, Gates/1e6,0.031,10,0.0
