Name,InSize,Type,Val,Repeat,Reduce
batcher_sort,10, Time/s,0.002,10,0.0
batcher_sort,10, Gates/10e6,0.003,10,0.0
batcher_sort,10, Bytes/MB,0.101,10,0.0
quick_sort,10, Time/s,0.001,10,0.5
quick_sort,10, Gates/10e6,0.001,10,0.6666666666666666
quick_sort,10, Bytes/MB,0.022,10,0.7821782178217823
batcher_sort,100, Time/s,0.051,10,0.0
batcher_sort,100, Gates/10e6,0.111,10,0.0
batcher_sort,100, Bytes/MB,3.542,10,0.0
quick_sort,100, Time/s,0.027,10,0.47058823529411764
quick_sort,100, Gates/10e6,0.02,10,0.8198198198198198
quick_sort,100, Bytes/MB,0.631,10,0.8218520609824957
batcher_sort,1000, Time/s,0.99,10,0.0
batcher_sort,1000, Gates/10e6,2.278,10,0.0
batcher_sort,1000, Bytes/MB,72.902,10,0.0
quick_sort,1000, Time/s,0.394,10,0.602020202020202
quick_sort,1000, Gates/10e6,0.348,10,0.8472344161545216
quick_sort,1000, Bytes/MB,11.141,10,0.8471784038846671
batcher_sort,10000, Time/s,18.668,10,0.0
batcher_sort,10000, Gates/10e6,42.98,10,0.0
batcher_sort,10000, Bytes/MB,1375.368,10,0.0
quick_sort,10000, Time/s,5.5,10,0.7053781872723377
quick_sort,10000, Gates/10e6,4.823,10,0.887785016286645
quick_sort,10000, Bytes/MB,154.484,10,0.8876780614351941
linear_search,100/10, Time/s,0.026,10,0.0
linear_search,100/10, Gates/10e6,0.06,10,0.0
linear_search,100/10, Bytes/MB,1.914,10,0.0
linear_search_opt,100/10, Time/s,0.017,10,0.3461538461538461
linear_search_opt,100/10, Gates/10e6,0.014,10,0.7666666666666667
linear_search_opt,100/10, Bytes/MB,0.437,10,0.7716823406478579
linear_search,100/100, Time/s,0.262,10,0.0
linear_search,100/100, Gates/10e6,0.627,10,0.0
linear_search,100/100, Bytes/MB,20.058,10,0.0
linear_search_opt,100/100, Time/s,0.153,10,0.41603053435114506
linear_search_opt,100/100, Gates/10e6,0.138,10,0.7799043062200957
linear_search_opt,100/100, Bytes/MB,4.431,10,0.7790906371522583
linear_search,100/1000, Time/s,2.724,10,0.0
linear_search,100/1000, Gates/10e6,6.297,10,0.0
linear_search,100/1000, Bytes/MB,201.498,10,0.0
linear_search_opt,100/1000, Time/s,1.441,10,0.4709985315712188
linear_search_opt,100/1000, Gates/10e6,1.331,10,0.7886295061140225
linear_search_opt,100/1000, Bytes/MB,42.636,10,0.788404847690796
linear_search,100/10000, Time/s,27.08,10,0.0
linear_search,100/10000, Gates/10e6,62.997,10,0.0
linear_search,100/10000, Bytes/MB,2015.898,10,0.0
linear_search_opt,100/10000, Time/s,15.203,10,0.43858936484490396
linear_search_opt,100/10000, Gates/10e6,13.867,10,0.7798784069082654
linear_search_opt,100/10000, Bytes/MB,444.194,10,0.779654526171463
binary_search,100/10, Time/s,0.305,10,0.0
binary_search,100/10, Gates/10e6,0.703,10,0.0
binary_search,100/10, Bytes/MB,22.483,10,0.0
binary_search_opt,100/10, Time/s,0.175,10,0.42622950819672134
binary_search_opt,100/10, Gates/10e6,0.375,10,0.46657183499288757
binary_search_opt,100/10, Bytes/MB,12.006,10,0.46599653071209357
binary_search,100/100, Time/s,2.595,10,0.0
binary_search,100/100, Gates/10e6,5.093,10,0.0
binary_search,100/100, Bytes/MB,176.692,10,0.0
binary_search_opt,100/100, Time/s,1.958,10,0.24547206165703284
binary_search_opt,100/100, Gates/10e6,3.74,10,0.26565874730021594
binary_search_opt,100/100, Bytes/MB,130.139,10,0.26346976659950644
binary_search,100/1000, Time/s,9.662,10,0.0
binary_search,100/1000, Gates/10e6,16.961,10,0.0
binary_search,100/1000, Bytes/MB,634.582,10,0.0
binary_search_opt,100/1000, Time/s,8.477,10,0.12264541502794457
binary_search_opt,100/1000, Gates/10e6,14.71,10,0.13271623135428323
binary_search_opt,100/1000, Bytes/MB,552.449,10,0.1294285056935117
binary_search,100/10000, Time/s,56.205,10,0.0
binary_search,100/10000, Gates/10e6,102.273,10,0.0
binary_search,100/10000, Bytes/MB,3721.743,10,0.0
binary_search_opt,100/10000, Time/s,49.39,10,0.12125255760163683
binary_search_opt,100/10000, Gates/10e6,86.835,10,0.1509489308028512
binary_search_opt,100/10000, Bytes/MB,3227.719,10,0.13273995544560704
almost_search,100/10, Time/s,0.623,10,0.0
almost_search,100/10, Gates/10e6,1.456,10,0.0
almost_search,100/10, Bytes/MB,46.605,10,0.0
almost_search_opt,100/10, Time/s,0.288,10,0.5377207062600321
almost_search_opt,100/10, Gates/10e6,0.639,10,0.5611263736263736
almost_search_opt,100/10, Bytes/MB,20.45,10,0.561205879197511
almost_search,100/100, Time/s,7.248,10,0.0
almost_search,100/100, Gates/10e6,13.963,10,0.0
almost_search,100/100, Bytes/MB,488.002,10,0.0
almost_search_opt,100/100, Time/s,4.937,10,0.3188465783664459
almost_search_opt,100/100, Gates/10e6,9.299,10,0.33402563918928596
almost_search_opt,100/100, Bytes/MB,326.351,10,0.3312506915955263
almost_search,100/1000, Time/s,28.576,10,0.0
almost_search,100/1000, Gates/10e6,49.337,10,0.0
almost_search,100/1000, Bytes/MB,1863.424,10,0.0
almost_search_opt,100/1000, Time/s,22.954,10,0.19673852183650614
almost_search_opt,100/1000, Gates/10e6,38.979,10,0.20994385552425165
almost_search_opt,100/1000, Bytes/MB,1475.058,10,0.2084152613683198
almost_search,100/10000, Time/s,176.673,10,0.0
almost_search,100/10000, Gates/10e6,310.099,10,0.0
almost_search,100/10000, Bytes/MB,11569.542,10,0.0
almost_search_opt,100/10000, Time/s,144.593,10,0.18157839624617236
almost_search_opt,100/10000, Gates/10e6,252.517,10,0.18568908638854043
almost_search_opt,100/10000, Bytes/MB,9442.559,10,0.18384331894901287
naive_psi,10, Time/s,0.003,10,0.0
naive_psi,10, Gates/10e6,0.006,10,0.0
naive_psi,10, Bytes/MB,0.202,10,0.0
naive_psi_opt,10, Time/s,0.002,10,0.3333333333333333
naive_psi_opt,10, Gates/10e6,0.002,10,0.6666666666666666
naive_psi_opt,10, Bytes/MB,0.066,10,0.6732673267326733
naive_psi,100, Time/s,0.264,10,0.0
naive_psi,100, Gates/10e6,0.63,10,0.0
naive_psi,100, Bytes/MB,20.16,10,0.0
naive_psi_opt,100, Time/s,0.182,10,0.31060606060606066
naive_psi_opt,100, Gates/10e6,0.157,10,0.7507936507936508
naive_psi_opt,100, Bytes/MB,5.028,10,0.7505952380952382
naive_psi,1000, Time/s,26.514,10,0.0
naive_psi,1000, Gates/10e6,63.0,10,0.0
naive_psi,1000, Bytes/MB,2016.0,10,0.0
naive_psi_opt,1000, Time/s,17.7,10,0.33242815116542207
naive_psi_opt,1000, Gates/10e6,16.692,10,0.7350476190476191
naive_psi_opt,1000, Bytes/MB,534.687,10,0.7347782738095239
line_insect,10, Time/s,0.284,10,0.0
line_insect,10, Gates/10e6,0.615,10,0.0
line_insect,10, Bytes/MB,19.675,10,0.0
line_insect_opt,10, Time/s,0.216,10,0.2394366197183098
line_insect_opt,10, Gates/10e6,0.487,10,0.208130081300813
line_insect_opt,10, Bytes/MB,15.569,10,0.20869123252858957
line_insect,100, Time/s,2.642,10,0.0
line_insect,100, Gates/10e6,6.149,10,0.0
line_insect,100, Bytes/MB,196.755,10,0.0
line_insect_opt,100, Time/s,2.273,10,0.13966691900075692
line_insect_opt,100, Gates/10e6,4.919,10,0.20003252561392104
line_insect_opt,100, Bytes/MB,157.418,10,0.19992884551853823
line_insect,1000, Time/s,28.723,10,0.0
line_insect,1000, Gates/10e6,61.486,10,0.0
line_insect,1000, Bytes/MB,1967.552,10,0.0
line_insect_opt,1000, Time/s,23.35,10,0.1870626327333495
line_insect_opt,1000, Gates/10e6,49.09,10,0.20160686985655263
line_insect_opt,1000, Bytes/MB,1570.879,10,0.20160737810233226
